# Temp  Free            Mag_h
0.300	-1.195912716	0.794146955
0.320	-1.153754455	-0.1410607845	
0.340	-1.112555699	0.863725841
0.360	-1.072347169	0.3257544339	
0.380	-1.033169445	-0.5441613793	
0.400	-0.9950860337	-0.0186377689	
0.420	-0.9581775902	0.074900955
0.440	-0.9225612958	0.6011582017	
0.460	-0.8884117995	0.0104558226	
0.480	-0.8561419271	-0.0000160364	
0.500	-0.8262510027	-0.0000001823	
0.520	-0.7979696845	-0.0000090984	
0.540	-0.7709747742	0.0000007047	
0.560	-0.7450884201	-0.0000002196	
0.580	-0.7201929576	-0.0000007298	
0.600	-0.6962051552	-0.0000005085	
0.620	-0.6730626027	0.0000012486	
0.640	-0.6507184317	0.000000632
0.660	-0.6291385042	-0.0000009261	
0.680	-0.6082984155	0.0000004062	
0.700	-0.5881822505	0.000000852
0.720	-0.5687839193	0.0000004211	
0.740	-0.5501078172	0.0000001743	
0.760	-0.5321746449	-0.0000000297	
0.780	-0.5150246748	0.0000001388	
0.800	-0.4986908989	0.0000003028	
0.820	-0.4831865245	-0.000000126	
0.840	-0.4685016895	0.0000000113	
0.860	-0.4546065957	0.0000000298	
0.880	-0.4414655161	-0.000000126	
0.900	-0.4290365502	-0.0000001163	
