# Temp          Free            Mag_h           Mag_h1
0.8000000000	-0.5982235562	-0.0000000729	0.3528430164	
0.8100000000	-0.5895948052	0.0000000102	0.3213637769	
0.8200000000	-0.5811019796	-0.0000000303	0.2595441639	
0.8300000000	-0.5727460036	0.0000000093	0.1013568863	
0.8400000000	-0.5645349601	-0.0000000031	0.0273796711	
0.8500000000	-0.5564723963	0.0000000307	0.0094795786	
0.8600000000	-0.5485658427	-0.0000000319	0.0039679469	
0.8700000000	-0.5408164864	0.0000000173	0.0020659114	
0.8800000000	-0.5332282962	0.0000000256	0.0012267384	
0.8900000000	-0.5258050918	0.0000000073	0.0006911890	
0.9000000000	-0.5185457241	0.0000000228	0.0004518630	
0.9100000000	-0.5114511747	0.0000000151	0.0003300645	
0.9200000000	-0.5045197315	0.0000000224	0.0002448091	
0.9300000000	-0.4977517154	0.0000000314	0.0001681132
0.9400000000 	-0.4911454279 	-0.0000000036 	0.0001386879	
0.9500000000	-0.4846924319	0.0000000184	0.0001081501
0.9600000000 	-0.4783954362 	0.0000000039 	0.0000861245	
0.9700000000	-0.4722495547	0.0000000027	0.0000740897	
0.9800000000	-0.4662519147	0.0000000047	0.0000568068	
0.9900000000	-0.4603965276	-0.0000000076	0.0000528813	
1.0000000000	-0.4546812699	-0.0000000044	0.0000465021
