# Temp          Free            Mag_h
0.7200000000	-0.5605511877	0.6822435260	
0.7300000000	-0.5475819115	0.6719262600	
0.7400000000	-0.5348200204	0.6568143368	
0.7500000000	-0.5222783698	0.6444527507	
0.7600000000	-0.5099657033	0.6336632371	
0.7700000000	-0.4978953998	0.6101856828	
0.7800000000	-0.4860772277	0.5900065303	
0.7900000000	-0.4745356659	0.5670977831	
0.8000000000	-0.4632833968	0.5405889750	
0.8100000000	-0.4523447943	0.5062865615	
0.8200000000	-0.4417538415	0.4604172707	
0.8300000000	-0.4315500840	0.3802683353	
0.8310000000	-0.4305535543	0.3691250980	
0.8320000000	-0.4295590722	0.3510500193	
0.8330000000	-0.4285735935	0.3277064860
0.8340000000 	 -0.4275909299 	 0.2896526754
0.8350000000 	 -0.4266128492 	 0.2323585153	
0.8360000000	-0.4256398343	0.1643617302	
0.8370000000	-0.4246721131	0.0920944884	
0.8380000000	-0.4237098282	0.0538667887	
0.8390000000	-0.4227531298	0.0289327931	
0.8400000000	-0.4218017003	0.0192771237	
0.8410000000	-0.4208559911	0.0139325922	
0.8420000000	-0.4199159692	0.0105342111	
0.8430000000	-0.4189817841	0.0070914766
0.8440000000 	 -0.4180528057 	 0.0049665109	
0.8450000000	-0.4171297159	0.0043371045	
0.8460000000	-0.4162115383	0.0032749237	
0.8470000000	-0.4153010583	0.0027866731
0.8480000000 	 -0.4143954476 	 0.0021389502	
0.8490000000	-0.4134953856	0.0017828111	
0.8500000000	-0.4126005343	0.0015531564	
0.8600000000	-0.4039489419	0.0004863433	
0.8700000000	-0.3958010290	0.0001795732	
0.8800000000	-0.3881012161	0.0001169018	
0.8900000000	-0.3807996192	0.0000825493	
0.9000000000	-0.3738562175	0.0000428921	
0.9100000000	-0.3672369348	0.0000430573	
0.9200000000	-0.3609122282	0.0000322064	
0.9300000000	-0.3548576852	0.0000252265	
0.9400000000	-0.3490500953	0.0000199942	
0.9500000000	-0.3434733519	0.0000151693	
0.9600000000	-0.3381096022	0.0000160844
