#Delta  Tc      Error
0.04    0.8799  0.0001
0.08    0.8425  0.0048
0.12    0.8025  0.0048
0.16    0.7725  0.0048
0.20    0.755   0.007   
0.24    0.7250  0.0068
0.28    0.6783  0.0034          
0.30    0.6901  0.014
0.32    0.6850  0.0077
0.34    0.6937  0.0016
0.36    0.7199  0.0002                    
0.38    0.7351  0.0061
0.40    0.756   0.003                         
0.45    0.7848  0.0004
0.50    0.7980  0.0080
0.55    0.833   0.001
0.60    0.8488  0.0009
0.65    0.8525  0.0048
0.72    0.8864  0.00125
0.80    0.8903  0.0041
